CombinedRank,GroupName,CombinedScore,RMSE_rank,RMSE_mm,TimeRank,TotalTime_s,TrainTime_s,TestTime_s
1,Bio Medical Ingineers,3.6,1,6.0043,27,4.7372,0.6423,4.0948
2,Dolce&GABAna,3.7,2,6.2389,19,2.8973,1.0606,1.8366
3,rastermouse,4.5,3,6.3553,18,2.7432,1.5951,1.1479
4,Monkey See Monkey Do,5.1,4,6.6878,15,2.5435,1.4259,1.1175
5,Monkey Decoders,7.0,6,8.0916,16,2.6723,1.7158,0.9565
6,MonkeyFingers,7.0,7,8.4871,7,0.9237,0.3621,0.5614
7,DanceMonkey-20260317,7.1,5,6.9274,26,4.3001,1.9191,2.3809
8,Chimpanzini Bananini,8.0,8,8.5732,8,0.9521,0.3730,0.5789
9,Body Mass Index (BMI),8.2,9,8.6560,1,0.6020,0.1474,0.4545
10,The Chimpions,9.4,10,8.8012,4,0.7530,0.2475,0.5053
11,NewBee,11.9,11,8.9079,20,3.1394,0.7312,2.4081
12,Big_Chimp_Incorporated_(BCI),13.4,13,9.0461,17,2.6985,0.6071,2.0913
13,Monkey Brain,13.7,12,8.9893,29,9.8106,7.7841,2.0263
14,Gray Matter,13.8,14,9.1192,12,1.9150,0.3276,1.5873
15,Peking University National Team,14.6,15,9.5935,11,1.7427,0.6415,1.1011
16,Shenapse,15.0,16,9.8553,6,0.8884,0.0574,0.8309
17,Monkey Never Cramp,15.5,17,9.8953,2,0.7081,0.2235,0.4845
18,BigMonkeyInvestigators_files,18.1,19,11.5854,10,1.3948,0.2773,1.1173
19,OohOohAhAh,18.4,18,10.6748,22,3.4736,0.2249,3.2486
20,MonkeysHEEL-17-03-26,18.9,20,12.1289,9,1.0492,0.3694,0.6797
21,theMonkeyKing17-03-2026,20.1,22,12.3553,3,0.7191,0.0603,0.6586
22,TheMonkeyWhisperers,21.7,21,12.2625,28,9.0438,0.1288,8.9149
23,monkey idols latest version,22.9,24,12.6078,13,2.2008,1.1049,1.0958
24,BigBrain,23.2,23,12.4657,25,3.7763,0.1865,3.5897
25,overfitter,24.8,25,13.1797,23,3.5278,3.1770,0.3506
26,Monkey Brother,25.5,26,14.3409,21,3.4389,1.0688,2.3700
27,Momo Monkey,25.7,28,17.1253,5,0.8728,0.4472,0.4255
28,Error 404,26.7,27,14.7913,24,3.5291,1.5331,1.9960
29,Three Monkeys and a Supercomputer,27.5,29,18.4819,14,2.2115,1.1989,1.0124
30,Bananas_in_Pyjamas,30.0,30,22.7942,30,66.6319,26.8888,39.7428
